age,job,marital,education,default,balance,housing,loan
36,9,2,1,0,-15,1,0
38,9,1,1,0,581,1,0
41,0,0,0,0,4070,1,0
48,5,1,1,0,74,0,1
55,7,0,1,0,141,1,0
28,7,0,1,0,89,0,0
54,7,1,1,1,0,1,0
30,1,1,1,0,450,0,0
48,9,1,2,0,310,0,0
31,6,1,1,0,0,1,0
38,1,1,1,0,384,1,0
37,1,1,1,0,395,1,0
37,7,2,3,0,-118,1,0
56,1,1,0,0,5,1,1
51,1,1,1,0,50,1,1
39,1,1,1,0,285,1,1
49,9,1,3,0,15,0,0
51,1,1,0,0,653,1,1
43,6,1,1,0,918,1,0
32,7,1,1,0,243,1,1
29,9,2,2,0,405,1,0
48,4,0,2,0,1328,1,0
55,7,1,0,0,255,1,0
53,1,1,1,0,3397,1,0
47,9,1,3,0,2106,1,0
39,4,1,2,0,2877,1,0
31,1,2,2,0,60,1,1
39,1,1,0,0,2226,1,0
40,1,1,0,0,2880,1,0
40,9,2,3,0,-5,1,0
48,9,1,1,0,147,0,0
33,9,0,1,0,7,1,1
40,9,1,1,0,109,1,0
59,5,1,0,0,-119,1,0
30,9,1,1,0,484,1,0
31,4,2,2,0,1852,1,0
35,10,1,1,0,533,1,0
54,9,0,1,0,21,1,0
34,0,2,3,0,2434,1,0
32,9,1,1,0,90,1,1
56,0,0,3,0,4246,1,0
32,0,2,2,0,395,1,0
42,1,1,0,0,15,1,0
33,7,1,2,0,85,0,0
52,2,1,2,0,-184,1,1
52,7,1,1,0,660,0,0
52,1,0,0,1,-183,1,0
30,10,0,1,0,1144,1,0
44,7,0,1,0,1,1,0
35,0,1,1,0,69,1,1
55,4,2,1,0,220,1,0
33,1,1,0,0,332,1,0
37,1,2,1,0,240,1,0
42,9,2,1,0,0,1,0
43,10,1,1,0,0,1,0
38,2,1,2,0,898,1,0
37,9,1,1,0,123,1,1
31,8,2,1,0,252,1,0
41,4,1,2,0,65,1,0
41,9,1,1,0,-366,1,1
29,8,2,1,0,209,1,0
38,0,2,1,0,221,1,0
44,6,0,2,0,4,1,0
39,0,1,1,0,104,1,0
28,9,2,1,0,312,1,0
33,1,1,1,0,-349,1,0
41,7,1,3,0,4,0,0
40,1,1,0,0,-322,1,1
29,0,1,1,0,-150,1,0
38,4,1,3,0,1349,1,0
32,0,1,2,0,281,1,0
45,7,1,1,0,1259,1,0
33,0,2,1,0,101,1,0
34,1,1,1,0,848,1,0
41,2,1,3,0,89,1,0
41,1,1,1,0,140,1,0
35,0,2,1,0,148,1,0
40,9,2,1,0,200,1,0
60,6,1,0,0,46,1,0
47,7,0,1,0,201,1,0
46,1,1,0,0,530,1,0
31,1,2,1,0,0,1,0
49,6,1,1,0,1,1,0
29,1,1,1,0,43,1,0
31,4,2,2,0,-173,1,0
38,4,1,2,0,389,1,0
37,1,1,0,0,215,1,1
35,9,1,1,0,-131,1,0
31,4,2,1,0,783,1,0
41,0,1,1,0,0,1,0
46,7,1,3,0,80,1,0
40,7,0,1,0,105,1,0
29,0,1,1,0,182,1,1
49,0,1,1,0,82,1,0
42,4,1,2,0,0,1,0
54,7,1,1,0,510,1,0
40,4,2,2,0,242,1,0
53,0,1,1,0,244,1,1
49,4,1,2,0,92,1,0
40,1,1,0,1,0,1,0
29,8,2,1,0,948,1,0
36,1,1,0,0,23,1,0
37,9,1,1,0,710,1,0
39,7,1,1,0,1205,1,0
36,9,1,1,0,368,1,1
44,2,1,2,0,1631,1,0
40,0,1,1,0,6,1,0
49,1,1,1,0,26,1,0
30,9,2,3,0,-48,1,0
57,4,1,2,0,2142,1,0
24,7,2,1,0,77,1,1
46,1,1,3,0,401,1,0
33,0,1,1,0,21,0,0
43,7,0,1,0,0,1,0
43,0,2,1,0,-497,1,0
40,1,0,0,0,369,0,0
44,9,2,3,0,78,1,0
35,9,2,2,0,226,1,1
47,9,1,1,0,503,1,0
33,1,1,1,0,372,1,0
31,0,1,1,0,0,1,1
40,1,0,1,0,0,1,0
36,2,1,2,0,125,1,0
56,5,0,0,0,4,1,0
40,0,2,3,0,419,1,0
41,0,0,1,0,322,1,0
53,5,1,1,0,303,1,0
39,1,1,1,0,607,1,0
44,1,0,1,0,579,1,0
38,0,1,1,0,3047,1,0
54,9,0,1,0,83,1,0
58,4,1,2,0,68,1,0
52,1,1,0,0,58,1,0
28,0,2,1,0,251,1,0
36,1,1,1,0,688,1,0
60,5,1,0,0,364,1,0
42,7,0,1,0,55,1,0
42,0,1,1,0,101,1,0
44,4,1,2,0,105,1,0
51,1,0,0,0,325,1,0
49,1,1,0,0,198,1,0
47,2,1,3,0,209,1,0
37,1,1,1,0,183,1,0
34,4,1,2,0,105,1,0
35,7,1,1,0,109,1,0
35,1,2,1,0,376,1,1
40,1,1,0,0,-7,1,0
55,9,1,1,0,0,0,0
55,5,1,1,0,143,1,0
35,4,2,2,0,550,1,0
57,1,1,0,0,162,1,0
53,4,1,2,0,115,1,0
41,1,1,0,0,512,1,0
57,1,1,3,0,807,1,0
45,1,1,3,0,248,1,0
43,1,1,0,0,1211,1,0
56,6,1,3,0,7,0,0
31,2,1,2,0,281,1,0
37,1,2,1,0,88,1,0
30,4,1,2,0,32,1,0
30,0,2,1,0,115,1,0
54,1,1,1,0,254,1,0
36,4,1,2,0,144,1,0
55,10,1,2,0,383,0,0
37,0,2,1,0,569,1,1
38,3,1,1,0,0,1,0
48,0,1,1,0,3754,1,0
55,3,0,2,0,6920,1,0
59,7,1,1,0,307,1,1
37,9,1,1,0,-421,1,0
33,1,0,1,0,60,0,0
44,1,1,0,0,67,1,0
57,9,1,1,0,402,1,0
30,6,2,2,0,800,0,0
42,9,1,2,0,239,1,1
51,1,0,1,0,421,1,0
44,0,0,1,0,161,1,0
46,9,1,1,1,289,0,0
29,8,2,1,0,110,1,0
39,1,1,0,0,245,1,0
42,7,1,1,0,0,1,0
50,1,1,0,0,156,1,0
42,9,2,1,0,0,1,0
39,0,1,1,0,20,1,0
55,9,2,2,0,92,1,0
46,7,1,1,0,89,1,0
42,1,1,1,0,166,1,0
45,4,1,2,0,103,1,0
43,1,1,0,0,-454,1,0
42,0,1,1,0,445,1,0
30,0,1,1,0,4,0,0
47,1,1,1,0,1001,1,0
51,7,0,1,0,-69,1,0
38,9,2,1,0,42,1,0
57,9,1,3,0,1617,1,0
42,4,0,2,0,221,1,0
32,9,0,1,0,210,1,1
46,4,1,2,0,0,0,0
29,8,2,2,0,185,1,0
59,5,1,1,0,836,1,0
32,1,2,1,0,301,1,0
44,1,1,0,0,503,1,0
40,5,1,0,0,407,1,0
31,1,2,1,0,53,1,0
46,6,1,2,0,2303,1,0
43,4,1,2,0,144,1,0
34,7,1,1,0,205,1,0
39,4,1,2,0,305,1,0
30,1,0,1,0,251,1,1
56,5,1,1,0,0,1,0
29,9,1,1,0,8,0,0
40,1,0,1,0,139,1,0
36,7,1,1,0,184,1,0
37,1,2,1,0,238,1,0
35,0,1,1,0,0,0,0
35,1,1,0,1,0,1,0
47,7,1,0,0,222,1,0
31,7,1,1,0,414,1,0
56,5,2,0,0,223,1,0
57,9,1,1,0,197,0,0
36,1,1,1,0,-251,1,0
45,6,0,1,0,-139,1,0
47,1,1,3,0,733,1,0
29,9,2,2,0,0,1,0
57,7,1,1,0,1,0,0
45,1,1,0,0,97,1,0
31,1,2,0,0,435,1,0
31,4,0,2,0,0,1,0
37,9,2,2,0,147,0,0
30,9,2,2,0,3,1,0
58,7,0,1,0,1109,1,1
33,7,1,1,0,404,1,0
39,1,1,0,0,981,1,0
33,1,2,0,0,95,1,0
34,7,1,1,0,302,1,0
36,7,0,1,0,-290,1,1
37,7,2,1,0,259,1,0
35,1,1,1,0,527,1,1
55,5,1,1,0,102,1,0
34,4,2,2,0,872,1,0
40,4,0,2,0,490,1,0
42,1,2,0,0,19,1,0
37,1,1,1,0,16,1,0
42,4,1,2,0,386,1,0
35,9,2,1,0,539,1,0
44,9,0,1,0,-329,1,0
30,7,2,1,0,-174,1,0
45,2,1,1,0,68,1,0
35,1,2,3,1,-532,1,0
36,0,0,1,0,0,1,0
49,1,1,1,0,64,1,0
31,1,2,1,0,1415,1,0
31,9,2,1,0,147,1,0
39,1,1,1,0,72,1,0
37,7,2,1,0,-196,1,0
33,1,1,0,0,716,1,0
37,4,1,2,0,0,1,0
42,7,1,1,0,-246,1,0
56,1,1,1,0,-203,1,0
37,0,2,1,0,245,1,1
36,7,2,1,0,342,1,0
29,9,2,2,0,3,1,0
54,4,1,2,1,-248,1,1
38,1,1,1,0,376,1,0
43,1,0,1,0,370,1,0
47,0,2,1,0,594,1,0
47,1,1,1,0,387,1,0
38,7,1,1,0,208,1,0
40,1,1,1,0,563,1,0
33,7,0,1,0,392,1,1
33,5,1,1,0,165,0,0
